title,authors,conference,year,tags,highlight,pdf,code,status
"Confining Nondeterminism: AI-Driven Research Systems as DBMSs for Reliable, Non-Wasteful, Transparent, and Collaborative Research [Vision]","<u>Kyoungmin Kim</u>, Anastasia Ailamaki",arXiv,2026,DB4AI,,https://arxiv.org/abs/2607.10508,,ongoing
Fast LLM-Based Semantic Filtering: From A Unified Framework To An Adaptive Two-Phase Method,"<u>Kyoungmin Kim</u>, Martin Catheland, Elif Sema Balcioglu, Anastasia Ailamaki",arXiv,2026,DB4AI;Query Processing;Algorithm;AI;Theory;Model;Single Operator,,https://arxiv.org/abs/2606.08090,,ongoing
Fast Approximate Vector Joins via Offline-Online Co-Design,"<u>Kyoungmin Kim</u>, Lennart Roth, Liang Liang, Anastasia Ailamaki",arXiv,2026,DB4AI;Query Processing;Algorithm;Theory;Vector;Approximate Query,,https://arxiv.org/abs/2603.16360,,ongoing
QVCache: A Query-Aware Vector Cache,"Anil Eren Göçer, Ioanna Tsakalidou, Hamish Nicholson, <u>Kyoungmin Kim</u>, Anastasia Ailamaki",arXiv,2026,DB4AI;Query Processing;Data Maintenance;System;Vector;Approximate Query,,https://arxiv.org/abs/2602.02057,,ongoing
Saving GPU Hours in LLM Inference System Development and Online Workloads with Simulation and DBMS-Inspired Cache Replacement Policies,"<u>Kyoungmin Kim</u>, Jiacheng Li, Kijae Hong, Qunyou Liu, Darong Huang, Anastasia Ailamaki",arXiv,2026,DB4AI;Data Maintenance;System;Theory;Model;Recursive Query,,https://arxiv.org/abs/2411.07447,,ongoing
Trustworthy And Efficient LLMs Meet Databases,"<u>Kyoungmin Kim</u>, Anastasia Ailamaki",arXiv,2024,AI4DB;DB4AI,,https://arxiv.org/abs/2412.18022,,ongoing
SmartRabbit: An Interactive Query Processor,"Pratyoy Das, Martin Boissier, <u>Kyoungmin Kim</u>, Sharad Mehrotra, Tilmann Rabl",SIGMOD,2026,Pure DB;Query Optimization;Query Processing;System;Relation;Distributed,,https://dl.acm.org/doi/10.1145/3802112,,published
Themis: A GPU-Accelerated Relational Query Execution Engine,"Kijae Hong, <u>Kyoungmin Kim</u>, Young Koo Lee, Yang Sae Moon, Sourav S. Bhowmick, Wook-Shin Han",VLDB,2025,Pure DB;Query Processing;System;Algorithm;GPU;Relation,,https://dl.acm.org/doi/abs/10.14778/3705829.3705856,,published
In-Depth Analysis Of Continuous Subgraph Matching In A Common Delta Query Compilation Framework,"Yukyoung Lee, <u>Kyoungmin Kim</u>, Wonseok Lee, Wook-Shin Han",SIGMOD,2024,Pure DB;Query Processing;System;Algorithm;Graph;Incremental View,,https://dl.acm.org/doi/pdf/10.1145/3654950,,published
ASM In Action: Fast And Practical Learned Cardinality Estimation,"Sangoh Lee, <u>Kyoungmin Kim</u>, Wook-Shin Han",SIGMOD Demo,2024,AI4DB;Query Optimization;AI;Algorithm;Relation,,https://dl.acm.org/doi/pdf/10.1145/3626246.3654728,,published
"ASM: Harmonizing Autoregressive Model, Sampling, And Multi-Dimensional Statistics Merging For Cardinality Estimation","<u>Kyoungmin Kim</u>, Sangoh Lee, Injung Kim, Wook-Shin Han",SIGMOD,2024,AI4DB;Query Optimization;AI;Algorithm;Theory;Relation,,https://dl.acm.org/doi/pdf/10.1145/3639300,,published
Guaranteeing The O(AGM/OUT) Runtime For Uniform Sampling And Size Estimation Over Joins,"<u>Kyoungmin Kim</u>, Jaehyun Ha, George Fletcher, Wook-Shin Han",PODS,2023,Pure DB;Query Optimization;Theory;Algorithm;Relation,First paper from Korea at PODS,https://dl.acm.org/doi/pdf/10.1145/3584372.3588676,,published
Learned Cardinality Estimation: An In-Depth Study,"<u>Kyoungmin Kim</u>, Jisung Jung, In Seo, Wook-Shin Han, Kangwoo Choi, Jaehyok Chong",SIGMOD,2022,AI4DB;Query Optimization;AI;Algorithm;Relation,,https://dl.acm.org/doi/pdf/10.1145/3514221.3526154,,published
Combining Sampling And Synopses With Worst-Case Optimal Runtime And Quality Guarantees For Graph Pattern Cardinality Estimation,"<u>Kyoungmin Kim</u>, Hyeonji Kim, George Fletcher, Wook-Shin Han",SIGMOD,2021,Pure DB;Query Optimization;Algorithm;Theory;Graph,,https://dl.acm.org/doi/pdf/10.1145/3448016.3457246,,published
G-CARE: A Framework For Performance Benchmarking Of Cardinality Estimation Techniques For Subgraph Matching,"Yeonsu Park, Seongyun Ko, Sourav S. Bhowmick, <u>Kyoungmin Kim</u>, Kijae Hong, Wook-Shin Han",SIGMOD,2020,Pure DB;Query Optimization;Algorithm;Graph,,https://dl.acm.org/doi/pdf/10.1145/3318464.3389702,,published
TurboFlux: A Fast Continuous Subgraph Matching System For Streaming Graph Data,"<u>Kyoungmin Kim</u>, In Seo, Wook-Shin Han, Jeong-Hoon Lee, Sungpack Hong, Hassan Chafi, Hyungyu Shin, Geonhwa Jeong",SIGMOD,2018,Pure DB;Query Processing;System;Algorithm;Theory;Graph;Incremental View,,https://dl.acm.org/doi/pdf/10.1145/3183713.3196917,,published
